code,公司名稱,industry,market_value
1101,臺灣水泥股份有限公司,1,77511817420
1102,亞洲水泥股份有限公司,1,35465628810
1103,嘉新水泥股份有限公司,1,7902474590
1104,環球水泥股份有限公司,1,6866818160
1108,幸福水泥股份有限公司,1,4047380490
1109,信大水泥股份有限公司,1,3411588680
1110,東南水泥股份有限公司,1,5720007970
1201,味全食品工業股份有限公司,2,5060629140
1203,味王股份有限公司,2,2400000000
1210,大成長城企業股份有限公司,2,8947672220
1213,大西洋飲料股份有限公司,2,566226270
1215,台灣卜蜂企業股份有限公司,2,2947900980
1216,統一企業股份有限公司,2,56820154210
1217,愛之味股份有限公司,2,4945133360
1218,泰山企業股份有限公司,2,4999990380
1219,福壽實業股份有限公司,2,3412383640
1220,台榮產業股份有限公司,2,1770779440
1225,福懋油脂股份有限公司,2,2422683060
1227,佳格食品股份有限公司,2,9150895910
1229,聯華實業控股股份有限公司,2,17959606680
1231,聯華食品工業股份有限公司,2,2984544750
1232,大統益股份有限公司,2,1599749150
1233,天仁茶業股份有限公司,2,905919480
1234,黑松股份有限公司,2,4018710940
1235,興泰實業股份有限公司,2,1885778360
1236,宏亞食品股份有限公司,2,866740080
1256,鮮活控股股份有限公司,2,357721600
1301,台灣塑膠工業股份有限公司,3,63657407810
1303,南亞塑膠工業股份有限公司,3,79308215890
1304,台灣聚合化學品股份有限公司,3,11887635000
1305,華夏海灣塑膠股份有限公司,3,5810504940
1307,三芳化學工業股份有限公司,3,3978181260
1308,亞洲聚合股份有限公司,3,5937439190
1309,台達化學工業股份有限公司,3,3975868480
1310,台灣苯乙烯工業股份有限公司,3,5278697640
1312,國喬石油化學股份有限公司,3,11266203280
1313,聯成化學科技股份有限公司,3,13496896070
1314,中國石油化學工業開發(股)公司,3,37848501300
1315,達新工業股份有限公司,3,990990000
1316,上曜建設開發股份有限公司,14,3670890190
1319,東陽實業廠股份有限公司,12,5914770680
1321,大洋塑膠工業股份有限公司,3,2272282680
1323,永裕塑膠工業股份有限公司,3,912745540
1324,地球綜合工業股份有限公司,3,751218820
1325,恒大股份有限公司,3,852811980
1326,台灣化學纖維股份有限公司,3,58611862910
1337,亞洲塑膠再生資源控股有限公司,3,2689547290
1338,廣華控股有限公司,12,838400000
1339,昭輝實業股份有限公司,12,741238750
1340,勝悅新材料有限公司,3,1529228550
1341,富林塑膠工業(開曼)控股(股)公司,3,528506340
1342,八貫企業股份有限公司,20,792489020
1402,遠東新世紀股份有限公司,4,53528752270
1409,新光合成纖維股份有限公司,4,16184092860
1410,南洋染整股份有限公司,4,620000000
1413,宏洲纖維工業股份有限公司,4,1321124540
1414,東和紡織股份有限公司,4,1980000000
1416,廣豐實業股份有限公司,20,1853421680
1417,嘉裕股份有限公司,4,1899418400
1418,東華龍股份有限公司,4,568343090
1419,新光紡織股份有限公司,4,3000412800
1423,利華羊毛工業股份有限公司,4,996480000
1432,大魯閣實業股份有限公司,37,1080000000
1434,福懋興業股份有限公司,4,16846646370
1435,中福國際(股)公司,20,1397800800
1436,華友聯開發股份有限公司,14,1941517950
1437,勤益投資控股股份有限公司,20,2033712840
1438,三地開發地產股份有限公司,14,1112057590
1439,雋揚國際股份有限公司,14,920000000
1440,臺南紡織股份有限公司,4,16568158570
1441,大東紡織股份有限公司,4,717443870
1442,名軒開發股份有限公司,14,3662113580
1443,立益物流開發股份有限公司,20,1353430110
1444,力麗企業股份有限公司,4,9955950590
1445,大宇紡織股份有限公司,4,1306660340
